1,教学楼1,100,150
2,办公楼,200,150
3,宿舍楼1,300,150
4,食堂,400,150
5,体育馆,500,150
6,超市,100,250
7,咖啡馆,200,250
8,医院,300,250
9,学生活动中心,400,250
10,实验楼,500,250
11,行政楼,100,350
12,剧院,200,350
13,运动场,300,350
14,停车场,400,350
15,洗手间,500,350
16,科研楼,100,450
17,语言中心,200,450
18,创业孵化中心,300,450
19,计算机实验室,400,450
20,电视台,500,450
21,展览馆,100,550
22,公园,200,550
23,邮局,300,550
24,学生服务中心,400,550
25,打印复印中心,500,550
26,洗衣房,600,150
27,图书馆,600,250
28,音乐厅,600,350
29,游泳池,600,450
30,美术馆,600,550
31,历史博物馆,700,150
32,教学楼2,700,250
33,教学楼3,700,350
34,教学楼4,700,450
35,天文馆,700,550
36,地质科学中心,800,150
37,机械工程实验室,800,250
38,信息科技中心,800,350
39,环境研究所,800,450
40,海洋学院,800,550
41,法学院,900,150
42,经济学院,900,250
43,哲学系,900,350
44,社会科学院,900,450
45,国际关系学院,900,550
46,新闻学院,1000,150
47,语言学院,1000,250
48,统计学院,1000,350
49,数学系,1000,450
50,物理系,1000,550
51,宿舍楼2,200,400
52,宿舍楼3,200,500
53,宿舍楼4,200,600
#
1,2,100,0.80,0.90,1
1,3,200,0.70,0.85,1
1,4,300,0.90,1.00,1
1,5,400,0.75,0.95,0
2,3,100,0.90,1.00,1
2,4,200,0.70,0.80,1
2,5,300,0.60,0.70,0
2,6,141,0.50,0.60,1
3,4,100,0.80,0.90,1
3,5,200,0.70,0.80,0
3,6,224,0.60,0.70,1
3,7,141,0.50,0.60,0
4,5,100,0.90,1.00,1
4,6,316,0.80,0.90,0
4,7,224,0.70,0.80,1
4,8,141,0.60,0.70,0
5,6,412,0.50,0.60,1
5,7,316,0.40,0.50,0
5,8,224,0.30,0.40,1
5,9,141,0.20,0.30,0
6,7,100,0.80,0.90,1
6,8,200,0.70,0.80,0
6,9,300,0.60,0.70,1
6,10,400,0.50,0.60,0
7,8,100,0.40,0.50,1
7,9,200,0.30,0.40,0
7,10,300,0.20,0.30,1
7,11,141,0.10,0.20,0
8,9,100,0.50,0.60,1
8,10,200,0.40,0.50,0
8,11,224,0.30,0.40,1
8,12,141,0.20,0.30,0
9,10,100,0.80,0.90,1
9,11,316,0.70,0.80,0
9,12,224,0.60,0.70,1
9,13,141,0.50,0.60,0
10,11,412,0.40,0.50,1
10,12,316,0.30,0.40,0
10,13,224,0.20,0.30,1
10,14,141,0.10,0.20,0
11,12,100,0.50,0.60,1
11,13,200,0.40,0.50,0
11,14,300,0.30,0.40,1
11,15,400,0.20,0.30,0
12,13,100,0.80,0.90,1
12,14,200,0.70,0.80,0
12,15,300,0.60,0.70,1
12,16,141,0.50,0.60,0
13,14,100,0.40,0.50,1
13,15,200,0.30,0.40,0
13,16,224,0.20,0.30,1
13,17,141,0.10,0.20,0
14,15,100,0.80,0.90,1
14,16,316,0.70,0.80,0
14,17,224,0.60,0.70,1
14,18,141,0.50,0.60,0
15,16,412,0.40,0.50,1
15,17,316,0.30,0.40,0
15,18,224,0.20,0.30,1
15,19,141,0.10,0.20,0
16,17,100,0.80,0.90,1
16,18,200,0.70,0.80,0
16,19,300,0.60,0.70,1
16,20,400,0.50,0.60,0
17,18,100,0.40,0.50,1
17,19,200,0.30,0.40,0
17,20,300,0.20,0.30,1
17,21,141,0.10,0.20,0
18,19,100,0.80,0.90,1
18,20,200,0.70,0.80,0
18,21,224,0.60,0.70,1
18,22,141,0.50,0.60,0
19,20,100,0.40,0.50,1
19,21,316,0.30,0.40,0
19,22,224,0.20,0.30,1
19,23,141,0.10,0.20,0
20,21,412,0.80,0.90,1
20,22,316,0.70,0.80,0
20,23,224,0.60,0.70,1
20,24,141,0.50,0.60,0
21,22,100,0.40,0.50,1
21,23,200,0.30,0.40,0
21,24,300,0.20,0.30,1
21,25,400,0.10,0.20,0
22,23,100,0.80,0.90,1
22,24,200,0.70,0.80,0
22,25,300,0.60,0.70,1
22,26,566,0.50,0.60,0
23,24,100,0.40,0.50,1
23,25,200,0.30,0.40,0
23,26,500,0.20,0.30,1
23,27,424,0.10,0.20,0
24,25,100,0.80,0.90,1
24,26,447,0.70,0.80,0
24,27,361,0.60,0.70,1
24,28,283,0.50,0.60,0
25,26,412,0.40,0.50,1
25,27,316,0.30,0.40,0
25,28,224,0.20,0.30,1
25,29,141,0.10,0.20,0
26,27,100,0.50,0.60,1
26,28,200,0.40,0.50,0
26,29,300,0.30,0.40,1
26,30,400,0.20,0.30,0
27,28,100,0.10,0.20,1
27,29,200,0.50,0.60,0
27,30,300,0.40,0.50,1
27,31,141,0.30,0.40,0
28,29,100,0.20,0.30,1
28,30,200,0.10,0.20,0
28,31,224,0.50,0.60,1
28,32,141,0.40,0.50,0
29,30,100,0.30,0.40,1
29,31,316,0.20,0.30,0
